Entreprise,Volume_Actions,Prix_MAD,Variation_Pct,Ticker,Secteur,PE_Actuel,Div_Yield_Pct,PE_2023,PE_2022,BPA_2023,BPA_2022,DPA_2023,DPA_2022,RN_2023,RN_2022,Date_Collecte
CMGP GROUP,8391,380.0,0.0,CMG,Agriculture,,1.65,,,,,,,122.56,142.17,2026-02-04
ITISSALAT AL MAGHRIB,29397,105.55,0.09,IAM,Télécommunications,16.67,1.15,16.67,14.39,6.0,6.6,4.2,2.2,5283.002,750.0,2026-02-04
BANK OF AFRICA,15017,204.8,-2.01,BOA,Banques,14.36,2.4,14.36,15.93,12.5,10.8,4.0,4.0,2662.162,304.61,2026-02-04
CASH PLUS,9782,295.0,1.37,CAP,Financement,16.5,,16.5,19.0,,,,,,,2026-02-04
ADDOHA,76420,30.61,-0.13,ADH,Immobilier,35.83,1.25,35.83,62.8,0.4,0.1,0.0,0.0,174.71,37.52,2026-02-04
RESIDENCES DAR SAADA,11398,157.0,-0.57,RDS,Immobilier,,3.59,-8.35,7.83,-2.6,2.3,0.0,0.0,-67.14,-61.47,2026-02-04
CREDIT DU MAROC,1255,1020.0,-2.86,CDM,Banques,17.25,3.72,17.25,16.13,46.2,37.2,34.2,27.0,503.09,404.29,2026-02-04
JET CONTRACTORS,404,2650.0,0.04,JET,équipement,11.18,0.7,11.18,25.12,22.8,8.2,7.0,0.0,68.92,24.83,2026-02-04
HPS,1687,526.0,-0.57,HPS,Logiciels,46.07,1.18,46.07,411.39,13.5,15.8,6.8,6.0,99.93,117.08,2026-02-04
MUTANDIS,2535,245.0,-1.41,MUT,Agroalimentaire,20.49,3.5,20.49,20.19,12.2,10.8,10.5,8.5,112.71,99.52,2026-02-04
LABEL VIE,96,4299.0,0.02,LBV,Distribution,23.95,2.31,23.95,17.98,175.4,258.6,96.8,86.4,507.67,748.35,2026-02-04
STOCKVIS NORD AFRI,4395,92.84,1.02,SNA,équipement,,1.74,-0.78,-0.79,-13.9,-20.0,0.0,0.0,-128.16,-183.58,2026-02-04
STROC IND.,1727,230.0,-2.11,STR,équipement,,2.63,-0.9,-3.31,-31.8,-12.0,0.0,0.0,-39.71,-14.99,2026-02-04
VICENNE,830,428.0,1.9,VCN,Sante,,,,,,,,,,,2026-02-04
BMCI,425,629.8,-0.03,BCI,Banques,41.86,2.98,41.86,20.6,12.9,17.2,18.0,18.0,171.22,228.62,2026-02-04
DELTA HOLDING,3018,70.0,0.0,DHO,équipement,16.14,2.77,16.14,12.63,2.2,1.9,1.5,1.4,188.93,165.91,2026-02-04
RISMA,550,375.0,0.25,RIS,Services,12.18,1.82,12.18,10.75,17.0,10.6,6.0,0.0,244.05,152.08,2026-02-04
TAQA MOROCCO,85,2080.0,1.46,TQM,Utilities,25.0,1.35,25.0,19.89,44.0,55.2,35.0,35.0,1037.331,302.72,2026-02-04
FENIE BROSSETTE,431,377.0,2.17,FBR,équipement,18.86,2.08,18.86,8.73,5.0,14.3,0.0,0.0,7.22,20.51,2026-02-04
WAFA ASSURANCE,27,4900.0,0.02,WAA,Assurances,20.88,2.65,20.88,16.96,191.6,221.7,140.0,130.0,670.5,776.08,2026-02-04
IMMORENTE,1300,91.4,0.4,IMO,Immobilier,19.79,5.78,19.79,107.0,4.7,0.9,5.2,5.5,42.78,15.81,2026-02-04
MED PAPER,4215,26.0,1.17,MDP,Matériaux,17.08,,17.08,17.03,1.2,1.6,0.0,0.0,5.75,7.43,2026-02-04
COLORADO,1063,84.99,1.18,COL,Matériaux,19.38,4.13,19.38,20.68,2.4,2.2,2.3,2.0,38.64,35.35,2026-02-04
M2M GROUP,151,454.0,-0.22,M2M,Logiciels,,5.32,-27.15,15.2,-22.8,51.9,0.0,0.0,-14.78,-33.61,2026-02-04
ARADEI CAPITAL,145,447.9,-0.02,ARD,Immobilier,18.39,4.95,18.39,20.05,24.2,20.2,20.5,19.2,271.57,227.05,2026-02-04
AUTO HALL,549,92.0,0.0,ATH,Distribution,112.92,2.5,112.92,32.5,0.6,2.0,2.0,3.5,27.88,100.06,2026-02-04
CARTIER SAADA,1338,31.2,-0.95,CRS,Agroalimentaire,14.67,2.9,14.67,44.17,1.5,0.6,0.0,0.0,8.0,2.0,2026-02-04
DISTY TECH.,101,331.95,1.51,DYT,Technologie,10.18,4.53,10.18,51.22,18.8,4.1,15.0,10.0,18.78,4.13,2026-02-04
ENNAKL,640,51.0,0.02,NKL,Distributeurs,6.89,6.78,6.89,6.54,4.5,4.8,2.1,1.9,134.39,120.45,2026-02-04
ALUMINIUM DU MAROC,17,1799.0,1.64,ALM,équipement,95.73,5.09,95.73,146.19,14.3,9.7,90.0,70.0,6.67,4.48,2026-02-04
INVOLYS,146,188.0,2.26,INV,Logiciels,48.89,4.72,48.89,-519.75,1.8,-0.2,0.0,2.2,0.7,-0.1,2026-02-04
AGMA,4,6500.0,-2.97,AGM,Assurances,20.16,4.3,20.16,21.36,316.5,284.2,275.0,260.0,63.3,56.83,2026-02-04
SNEP,46,470.0,-1.47,SNP,Matériaux,,2.87,-25.26,17.13,-19.4,36.2,0.0,16.0,-46.63,86.96,2026-02-04
AFRIQUIA GAZ,5,4068.0,-0.78,GAZ,Energie,28.55,3.8,28.55,30.92,140.1,150.4,140.0,140.0,481.47,504.52,2026-02-04
CREDIT EQDOM,15,1298.0,-5.94,EQD,Financement,18.63,4.65,18.63,16.07,53.0,52.9,55.0,55.0,88.57,88.32,2026-02-04
AFRIC IND.,57,339.5,1.34,AFI,équipement,21.89,6.41,21.89,15.99,15.3,21.2,20.0,20.0,4.46,6.19,2026-02-04
ATLANTASANAD,125,143.8,0.56,ATL,Assurances,1.19,3.92,1.19,18.12,106.3,6.9,5.7,5.5,437.55,413.82,2026-02-04
IB-MAROC.COM,238,66.0,1.54,IBC,Logiciels,0.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-04
MAGHREBAIL,10,924.9,2.68,MAB,Immobilier,9.86,5.3,9.86,10.47,92.3,85.9,50.0,50.0,127.81,118.95,2026-02-04
OULMES,6,1166.0,-1.69,OUL,Agroalimentaire,41.76,1.88,41.76,50.45,32.3,30.8,22.0,16.5,63.92,60.89,2026-02-04
MAGHREB OXYGENE,12,399.85,-0.03,MOX,Matériaux,19.66,0.86,19.66,13.02,11.7,18.8,4.0,4.0,9.54,15.26,2026-02-04
SBM,2,2199.0,3.63,SBM,Agroalimentaire,10.02,4.54,10.02,17.02,225.2,140.9,160.0,145.5,637.25,398.75,2026-02-04
LESIEUR-CRISTAL,6,340.0,0.0,LES,Agroalimentaire,2.0,1.07,,,0.1,7.5,2.0,4.5,2.5,206.0,2026-02-04
UNIMER,12,160.0,-3.03,UMR,Agroalimentaire,,0.57,-59.0,39.49,-3.0,4.0,1.0,1.0,-34.1,45.92,2026-02-04
MICRODATA,1,819.0,-0.11,MIC,Logiciels,17.65,4.17,17.65,21.33,34.0,25.4,34.0,25.0,57.2,42.61,2026-02-04
REBAB,8,100.7,0.0,REB,Matériaux,69.84,2.1,69.84,-87.31,1.2,-1.3,0.0,0.0,0.22,-0.22,2026-02-04
MAROC LEASING,1,359.0,-4.75,MLE,Financement,9.6,3.64,9.6,14.23,37.5,24.8,14.0,14.0,104.17,68.88,2026-02-04
ZELLIDJA,0,232.15,0.0,ZDJ,Matériaux,,2.61,-36.95,5.39,-1.9,13.5,0.0,0.0,-1.1,7.76,2026-02-04
SALAFIN,0,561.0,0.0,SLF,Financement,17.93,4.56,17.93,20.8,29.0,27.4,28.5,27.0,90.58,85.75,2026-02-04
PROMOPHARM,0,1444.0,0.0,PRO,Pharmaceutiques,17.57,3.93,17.57,14.18,56.9,75.3,0.0,40.0,56.9,75.28,2026-02-04
AFMA,0,1226.0,0.0,AFM,Assurances,20.0,4.26,20.0,21.92,60.0,59.3,55.0,55.0,60.0,59.32,2026-02-04
SAMIR,0,127.8,0.0,SAM,Pétrole et Gaz,,3.02,,,,,,,,,2026-02-04
DIAC SALAF,0,26.25,0.0,DIS,Sociétés de Financement,,7.0,,,,,,,,,2026-02-04
SOTHEMA,0,1800.0,0.0,SOT,Pharmaceutiques,26.05,1.99,26.05,35.68,36.5,37.0,17.0,25.0,262.76,266.62,2026-02-04
SRM,0,479.95,0.0,SRM,équipement,,5.12,-4.44,17.86,-27.0,8.4,0.0,0.0,-8.65,2.69,2026-02-04
CTM,0,870.0,0.0,CTM,Transport,11.07,2.5,11.07,23.4,51.5,28.9,15.0,25.0,63.1,35.44,2026-02-04
DARI COUSPATE,0,4300.0,0.0,DRI,Agroalimentaire,27.1,3.51,27.1,59.38,118.1,66.6,120.0,85.0,35.23,19.88,2026-02-04
DISWAY,0,880.0,0.0,DWY,Technologie,18.73,5.03,18.73,14.92,34.7,44.9,35.0,35.0,65.52,84.64,2026-02-04
BALIMA,0,225.0,0.0,BAL,Immobilier,36.27,2.39,36.27,15.57,5.1,10.6,5.5,5.5,8.89,18.49,2026-02-04
SANLAM MAROC,0,2085.0,0.0,SAH,Assurances,9.56,3.72,9.56,-58.24,135.9,-17.0,77.0,35.0,559.43,-70.18,2026-02-04
S2M,0,570.0,0.0,S2M,Logiciels,6.79,5.44,6.79,8.12,26.5,25.0,0.0,0.0,21.55,20.32,2026-02-04
DELATTRE LEVIVIER,0,40.0,0.0,DLM,équipement,0.0,3.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-04
AUTO NEJMA,0,4326.0,0.0,NEJ,Distribution,16.02,5.8,16.02,9.93,154.2,182.9,94.0,125.0,157.77,189.39,2026-02-04
DELTA HOLDING,684947,70.5,0.71,DHO,équipement,16.14,2.77,16.14,12.63,2.2,1.9,1.5,1.4,188.93,165.91,2026-02-04
ATTIJARIWAFA BANK,56255,728.6,0.08,ATW,Banques,13.18,2.75,13.18,13.9,34.9,28.2,16.5,15.5,7507.616,102.6,2026-02-04
